epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,402.695,0.75056,0.43375,0.85928,0.6858,0.75177,0.73676,0.49385,1.00274,0.68801,0.98281,0.000864625,0.000864625,0.000864625
114,406.196,0.75998,0.44383,0.88132,0.71857,0.7863,0.75317,0.47761,1.02139,0.65666,1.00276,0.000862425,0.000862425,0.000862425
115,409.696,0.76827,0.4324,0.86623,0.68089,0.78438,0.74811,0.45358,1.00843,0.65002,0.99415,0.000860225,0.000860225,0.000860225
116,413.21,0.78261,0.44386,0.87679,0.67625,0.76747,0.75564,0.46828,1.06393,0.70296,1.00707,0.000858025,0.000858025,0.000858025
117,416.816,0.77192,0.4344,0.86427,0.72488,0.73069,0.75252,0.47414,1.01298,0.68067,0.98324,0.000855826,0.000855826,0.000855826
118,420.261,0.7527,0.43073,0.87324,0.7214,0.78286,0.78924,0.51126,1.03239,0.63727,0.98685,0.000853626,0.000853626,0.000853626
119,423.704,0.7424,0.43936,0.87105,0.71557,0.77525,0.77399,0.51158,0.99874,0.63365,0.98366,0.000851426,0.000851426,0.000851426
120,427.222,0.70509,0.43386,0.86251,0.69944,0.76657,0.77173,0.53045,0.99601,0.63799,0.98912,0.000849226,0.000849226,0.000849226
121,431.087,0.76743,0.44823,0.86403,0.75126,0.75451,0.7685,0.52206,1.00462,0.65213,0.98358,0.000847026,0.000847026,0.000847026
122,434.565,0.73717,0.42723,0.86211,0.71346,0.72611,0.74549,0.49587,0.98773,0.69987,0.9822,0.000844827,0.000844827,0.000844827
123,438.047,0.73351,0.43113,0.86817,0.6852,0.80114,0.76597,0.51321,0.97628,0.63092,0.9762,0.000842627,0.000842627,0.000842627
124,441.702,0.7155,0.43545,0.87484,0.71252,0.78892,0.77719,0.50187,1.01835,0.63135,0.99111,0.000840427,0.000840427,0.000840427
125,445.189,0.71447,0.42214,0.86551,0.75265,0.75091,0.75543,0.48807,1,0.65241,0.99058,0.000838227,0.000838227,0.000838227
126,448.678,0.72085,0.44827,0.85004,0.70724,0.70791,0.73081,0.46768,1.00487,0.64847,0.9816,0.000836027,0.000836027,0.000836027
127,452.136,0.70954,0.41133,0.85887,0.8019,0.70163,0.80041,0.49832,0.99702,0.63544,0.99247,0.000833828,0.000833828,0.000833828
128,455.784,0.70391,0.40229,0.85376,0.80446,0.73614,0.76107,0.48862,1.0003,0.65765,0.98596,0.000831628,0.000831628,0.000831628
129,459.274,0.70951,0.41042,0.86323,0.76461,0.72005,0.74106,0.49238,1.02059,0.67709,0.98679,0.000829428,0.000829428,0.000829428
130,462.745,0.70684,0.40787,0.86399,0.76636,0.78383,0.78283,0.52491,1.01008,0.65074,0.9921,0.000827228,0.000827228,0.000827228
131,466.223,0.70352,0.40927,0.84968,0.77029,0.75978,0.77095,0.51879,0.98397,0.64147,0.97211,0.000825029,0.000825029,0.000825029
132,469.895,0.74838,0.41752,0.85527,0.7957,0.74588,0.78092,0.51145,1.0161,0.6633,0.98282,0.000822829,0.000822829,0.000822829
133,473.336,0.71607,0.40543,0.85565,0.79434,0.75387,0.77001,0.50707,1.02132,0.68105,0.99639,0.000820629,0.000820629,0.000820629
134,476.783,0.72408,0.41042,0.85989,0.77565,0.73185,0.7674,0.5074,0.99916,0.66121,0.98424,0.000818429,0.000818429,0.000818429
135,480.238,0.70245,0.3974,0.85256,0.75535,0.73222,0.75621,0.50607,0.9699,0.65918,0.9648,0.000816229,0.000816229,0.000816229
136,483.875,0.72605,0.41959,0.85871,0.73418,0.70421,0.75596,0.50289,0.98497,0.67008,0.97043,0.00081403,0.00081403,0.00081403
137,487.325,0.69812,0.38872,0.85816,0.74501,0.72124,0.75301,0.49648,0.96183,0.62218,0.96999,0.00081183,0.00081183,0.00081183
138,490.761,0.70236,0.42646,0.85707,0.7728,0.7422,0.77009,0.51259,0.96162,0.62927,0.97059,0.00080963,0.00080963,0.00080963
139,494.196,0.717,0.40944,0.8477,0.77201,0.81456,0.80131,0.53436,0.95415,0.61299,0.96953,0.00080743,0.00080743,0.00080743
140,497.907,0.67539,0.39117,0.85543,0.74547,0.75623,0.76715,0.52006,0.96852,0.64635,0.96906,0.000805231,0.000805231,0.000805231
141,501.465,0.66033,0.37644,0.85011,0.72126,0.78077,0.75351,0.51023,0.97905,0.6708,0.97708,0.000803031,0.000803031,0.000803031
142,504.903,0.67245,0.39215,0.85275,0.71854,0.76065,0.746,0.51235,0.9728,0.68092,0.96661,0.000800831,0.000800831,0.000800831
143,508.356,0.68164,0.40181,0.85285,0.72491,0.77268,0.74694,0.49896,0.99301,0.68169,0.97176,0.000798631,0.000798631,0.000798631
144,511.874,0.704,0.40458,0.8476,0.74366,0.73663,0.75461,0.51505,0.97598,0.66506,0.97313,0.000796431,0.000796431,0.000796431
145,515.514,0.68836,0.39045,0.84618,0.77507,0.72018,0.76195,0.51662,0.98444,0.66013,0.97228,0.000794232,0.000794232,0.000794232
146,518.986,0.66493,0.38177,0.84718,0.78598,0.72003,0.78522,0.5343,0.97413,0.63058,0.96926,0.000792032,0.000792032,0.000792032
147,522.467,0.6965,0.39807,0.85591,0.75652,0.72658,0.76779,0.51446,1.00072,0.65007,0.98596,0.000789832,0.000789832,0.000789832
148,525.967,0.70572,0.38933,0.84573,0.78097,0.73784,0.76308,0.51159,0.97754,0.66325,0.99025,0.000787632,0.000787632,0.000787632
149,529.572,0.69971,0.39294,0.85547,0.78026,0.73613,0.74452,0.50754,0.98006,0.69214,0.98432,0.000785433,0.000785433,0.000785433
150,533.047,0.66881,0.38316,0.84891,0.79863,0.72972,0.77481,0.53383,0.969,0.66169,0.97167,0.000783233,0.000783233,0.000783233
151,536.524,0.68447,0.39235,0.85069,0.79622,0.781,0.7944,0.5466,0.98801,0.6487,0.97577,0.000781033,0.000781033,0.000781033
152,540.232,0.67645,0.38679,0.85636,0.76784,0.76545,0.81042,0.53283,1.01117,0.65187,0.98651,0.000778833,0.000778833,0.000778833
153,543.849,0.69084,0.4014,0.84745,0.78058,0.78153,0.7836,0.51327,0.98983,0.67,0.98341,0.000776633,0.000776633,0.000776633
154,547.297,0.65167,0.37689,0.85309,0.73666,0.79618,0.75713,0.50198,0.97444,0.65173,0.97325,0.000774434,0.000774434,0.000774434
155,550.771,0.67882,0.39188,0.84387,0.76106,0.76162,0.78823,0.52309,0.96603,0.63983,0.97503,0.000772234,0.000772234,0.000772234
156,554.267,0.64808,0.38347,0.85468,0.74057,0.74867,0.79346,0.52044,0.98279,0.64073,0.9759,0.000770034,0.000770034,0.000770034
157,557.915,0.68547,0.39349,0.84505,0.73225,0.74742,0.79074,0.53621,0.95297,0.63041,0.97224,0.000767834,0.000767834,0.000767834
158,561.411,0.63555,0.3602,0.83748,0.73508,0.72055,0.74059,0.49937,0.97964,0.66443,0.98166,0.000765635,0.000765635,0.000765635
159,564.866,0.65999,0.38607,0.84434,0.73344,0.72711,0.73074,0.48848,0.98279,0.68326,0.97887,0.000763435,0.000763435,0.000763435
160,568.384,0.66168,0.38782,0.84851,0.73641,0.77797,0.76516,0.52106,0.96248,0.67555,0.9679,0.000761235,0.000761235,0.000761235
161,571.968,0.63113,0.37961,0.84602,0.71151,0.77361,0.77962,0.53797,0.96011,0.668,0.9715,0.000759035,0.000759035,0.000759035
