epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,494.114,0.64894,0.36432,0.83159,0.752,0.76103,0.74778,0.51273,0.94698,0.62163,0.96884,0.000352076,0.000352076,0.000352076
140,497.632,0.62539,0.35534,0.83627,0.68997,0.73413,0.72657,0.49537,0.95311,0.62444,0.96765,0.000346576,0.000346576,0.000346576
141,501.076,0.58179,0.33637,0.82787,0.67367,0.76262,0.70612,0.48447,0.9653,0.64406,0.96647,0.000341077,0.000341077,0.000341077
142,504.541,0.6171,0.3513,0.83494,0.6927,0.71817,0.71756,0.49845,0.96085,0.64017,0.97038,0.000335578,0.000335578,0.000335578
143,508.005,0.5961,0.34214,0.83255,0.69208,0.7544,0.73935,0.51753,0.97196,0.64808,0.97095,0.000330078,0.000330078,0.000330078
144,512.094,0.60481,0.34512,0.82496,0.71344,0.77897,0.72681,0.4937,0.95197,0.64022,0.97068,0.000324579,0.000324579,0.000324579
145,515.553,0.60641,0.33973,0.82755,0.72751,0.75553,0.74031,0.50007,0.97268,0.64393,0.97661,0.000319079,0.000319079,0.000319079
146,519.006,0.59921,0.33803,0.82808,0.73784,0.75559,0.73877,0.4894,0.95915,0.64036,0.96862,0.00031358,0.00031358,0.00031358
147,522.451,0.61268,0.34588,0.83584,0.72497,0.73014,0.73566,0.50446,0.95423,0.6183,0.96788,0.00030808,0.00030808,0.00030808
148,525.929,0.61949,0.34364,0.82517,0.76568,0.7607,0.76506,0.53056,0.9548,0.6077,0.9696,0.000302581,0.000302581,0.000302581
149,529.388,0.60547,0.33664,0.82998,0.74925,0.75772,0.77109,0.53611,0.94787,0.60497,0.97343,0.000297081,0.000297081,0.000297081
150,533.092,0.57344,0.32536,0.82764,0.77251,0.75358,0.75809,0.5414,0.95526,0.61188,0.97261,0.000291582,0.000291582,0.000291582
151,536.776,0.59319,0.35127,0.82959,0.7996,0.71455,0.76961,0.54459,0.95584,0.62507,0.97666,0.000286083,0.000286083,0.000286083
152,540.494,0.59205,0.33462,0.83638,0.75541,0.75987,0.75572,0.52746,0.96598,0.60564,0.97894,0.000280583,0.000280583,0.000280583
153,544.275,0.60189,0.33982,0.82931,0.76475,0.75969,0.74957,0.52443,0.97543,0.61059,0.97622,0.000275084,0.000275084,0.000275084
154,547.748,0.55931,0.32307,0.82937,0.77166,0.74936,0.75638,0.5269,0.9603,0.61387,0.97053,0.000269584,0.000269584,0.000269584
155,551.209,0.58498,0.3371,0.81994,0.78497,0.76313,0.76511,0.52862,0.96873,0.61858,0.97327,0.000264085,0.000264085,0.000264085
156,554.717,0.55055,0.32941,0.82569,0.75098,0.74669,0.75534,0.51496,0.94698,0.62429,0.97024,0.000258585,0.000258585,0.000258585
157,558.206,0.57723,0.32229,0.82262,0.76977,0.72474,0.76641,0.5292,0.95412,0.61841,0.97131,0.000253086,0.000253086,0.000253086
158,561.686,0.53089,0.30387,0.81594,0.78135,0.73139,0.77078,0.52891,0.94833,0.61738,0.96683,0.000247586,0.000247586,0.000247586
159,565.165,0.55449,0.31754,0.82183,0.77873,0.72982,0.76094,0.51751,0.9524,0.62921,0.97212,0.000242087,0.000242087,0.000242087
160,568.696,0.55609,0.3206,0.8247,0.77006,0.73428,0.76229,0.5206,0.95298,0.63276,0.97598,0.000236587,0.000236587,0.000236587
161,572.191,0.54144,0.31837,0.82541,0.75528,0.74356,0.76058,0.51925,0.94953,0.62414,0.9741,0.000231088,0.000231088,0.000231088
162,575.751,0.56862,0.328,0.82498,0.73735,0.74771,0.76154,0.52067,0.95067,0.62138,0.97516,0.000225589,0.000225589,0.000225589
163,579.204,0.56506,0.32748,0.82159,0.72395,0.74759,0.76659,0.52424,0.95364,0.62484,0.9744,0.000220089,0.000220089,0.000220089
164,582.69,0.56821,0.32272,0.82795,0.73295,0.73571,0.75847,0.51697,0.97174,0.64463,0.98041,0.00021459,0.00021459,0.00021459
165,586.145,0.56454,0.3288,0.82374,0.75799,0.7273,0.77491,0.53479,0.96526,0.65361,0.97729,0.00020909,0.00020909,0.00020909
166,589.674,0.55706,0.31816,0.82307,0.74484,0.7403,0.76987,0.52968,0.96287,0.65747,0.97564,0.000203591,0.000203591,0.000203591
167,593.148,0.54116,0.30971,0.82858,0.78233,0.7325,0.75147,0.51681,0.95673,0.65126,0.97337,0.000198091,0.000198091,0.000198091
168,596.675,0.55227,0.32992,0.8206,0.77923,0.75272,0.75346,0.52363,0.95995,0.63481,0.97138,0.000192592,0.000192592,0.000192592
169,600.144,0.55882,0.31313,0.82413,0.77763,0.74695,0.75336,0.51462,0.97025,0.63677,0.97337,0.000187092,0.000187092,0.000187092
