epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,986.16,0.66118,0.44505,0.99418,0.9458,0.88998,0.92137,0.78584,0.72616,0.41568,1.00686,0.0073072,0.0073072,0.0073072
138,993.34,0.67922,0.44914,0.99648,0.94845,0.87892,0.93303,0.79217,0.68908,0.37807,0.99002,0.0072874,0.0072874,0.0072874
139,1000.54,0.66556,0.43824,0.99717,0.93124,0.89804,0.91212,0.78209,0.69407,0.40387,0.97985,0.0072676,0.0072676,0.0072676
140,1007.76,0.65023,0.44127,0.98497,0.93494,0.88116,0.92743,0.77626,0.70176,0.40553,0.98591,0.0072478,0.0072478,0.0072478
141,1014.95,0.68355,0.45937,1.01085,0.91601,0.91866,0.9212,0.77806,0.71682,0.42971,1.00627,0.007228,0.007228,0.007228
142,1022,0.66011,0.44582,0.99085,0.94507,0.86269,0.91131,0.77167,0.7273,0.40792,1.01647,0.0072082,0.0072082,0.0072082
143,1029.1,0.66555,0.44191,0.9906,0.96592,0.8666,0.92282,0.78379,0.73346,0.39985,1.01589,0.0071884,0.0071884,0.0071884
144,1036.29,0.67895,0.44132,0.99505,0.92424,0.89,0.90499,0.76109,0.73463,0.43638,1.00741,0.0071686,0.0071686,0.0071686
145,1043.4,0.66682,0.43645,0.99534,0.96427,0.85704,0.90418,0.77139,0.70833,0.4373,1.01225,0.0071488,0.0071488,0.0071488
146,1050.57,0.65759,0.42487,0.98612,0.93797,0.88902,0.91158,0.77904,0.7387,0.42869,1.01072,0.007129,0.007129,0.007129
147,1057.68,0.65148,0.43747,0.98436,0.92617,0.90218,0.91935,0.78711,0.71594,0.44284,1.00315,0.0071092,0.0071092,0.0071092
148,1064.82,0.64823,0.4304,0.98294,0.94202,0.90347,0.92743,0.77459,0.70739,0.40284,1.00714,0.0070894,0.0070894,0.0070894
149,1072.02,0.65679,0.44143,0.99085,0.9552,0.88322,0.92076,0.77615,0.71895,0.41899,1.02039,0.0070696,0.0070696,0.0070696
150,1079.2,0.66096,0.43811,0.99704,0.9369,0.90024,0.92444,0.78681,0.70643,0.39882,1.00537,0.0070498,0.0070498,0.0070498
151,1086.86,0.65652,0.44342,0.99508,0.95378,0.87995,0.92786,0.78928,0.73996,0.43155,1.00807,0.00703,0.00703,0.00703
152,1094,0.65095,0.42794,0.982,0.94247,0.87821,0.91762,0.77552,0.71493,0.42054,0.99518,0.0070102,0.0070102,0.0070102
153,1101.08,0.64066,0.41893,0.98106,0.94346,0.88622,0.90943,0.77533,0.69645,0.44089,0.98707,0.0069904,0.0069904,0.0069904
154,1108.15,0.64454,0.42366,0.9792,0.91437,0.90705,0.92516,0.78005,0.72797,0.43433,0.98616,0.0069706,0.0069706,0.0069706
155,1115.6,0.6429,0.43119,0.97877,0.90406,0.90377,0.91948,0.77512,0.69561,0.42533,0.98817,0.0069508,0.0069508,0.0069508
156,1122.73,0.63504,0.42645,0.98383,0.94157,0.87701,0.91898,0.77199,0.68687,0.41264,0.99871,0.006931,0.006931,0.006931
157,1129.92,0.64365,0.43008,0.97889,0.93967,0.89171,0.9103,0.7726,0.68785,0.43322,0.99484,0.0069112,0.0069112,0.0069112
158,1137.03,0.64467,0.43372,0.98155,0.92075,0.8913,0.91622,0.77664,0.71425,0.45897,1.00555,0.0068914,0.0068914,0.0068914
159,1144.15,0.63642,0.42183,0.97936,0.89267,0.91506,0.92361,0.78578,0.68901,0.42481,1.01221,0.0068716,0.0068716,0.0068716
160,1151.38,0.62357,0.41108,0.9842,0.94572,0.87172,0.916,0.78299,0.70971,0.42691,1.01025,0.0068518,0.0068518,0.0068518
161,1158.41,0.63277,0.4269,0.98282,0.94833,0.87237,0.93337,0.78688,0.73185,0.42902,1.01635,0.006832,0.006832,0.006832
162,1165.49,0.65014,0.43919,0.99022,0.92461,0.88941,0.9269,0.78514,0.69096,0.41425,0.99492,0.0068122,0.0068122,0.0068122
163,1172.63,0.63274,0.41767,0.97162,0.93585,0.89261,0.92389,0.76898,0.72387,0.4269,1.02042,0.0067924,0.0067924,0.0067924
164,1179.79,0.62865,0.42763,0.97552,0.92383,0.91546,0.93328,0.78628,0.73301,0.4364,1.01008,0.0067726,0.0067726,0.0067726
165,1186.94,0.63993,0.42131,0.98172,0.93386,0.90644,0.92226,0.76329,0.74073,0.41033,1.00964,0.0067528,0.0067528,0.0067528
166,1194.1,0.63374,0.41998,0.97744,0.927,0.91017,0.92182,0.78099,0.6873,0.40655,0.97588,0.006733,0.006733,0.006733
167,1201.32,0.63505,0.4123,0.98671,0.9406,0.8727,0.92518,0.79288,0.68885,0.39914,0.98515,0.0067132,0.0067132,0.0067132
168,1208.61,0.63281,0.40603,0.97758,0.89913,0.92181,0.92615,0.78765,0.72179,0.41267,1.00239,0.0066934,0.0066934,0.0066934
169,1215.73,0.62906,0.4171,0.97339,0.92625,0.90607,0.92801,0.78042,0.71587,0.41166,0.99044,0.0066736,0.0066736,0.0066736
170,1222.83,0.63338,0.42638,0.98009,0.92534,0.91093,0.92265,0.77613,0.74235,0.41422,1.00679,0.0066538,0.0066538,0.0066538
171,1230.05,0.62516,0.40808,0.97013,0.93477,0.91658,0.93527,0.77818,0.74329,0.39716,0.98372,0.006634,0.006634,0.006634
172,1237.21,0.62245,0.41073,0.96967,0.93402,0.91093,0.92539,0.76816,0.68212,0.42037,0.97752,0.0066142,0.0066142,0.0066142
173,1244.27,0.62758,0.41255,0.97276,0.91539,0.91969,0.91885,0.77612,0.68441,0.39988,0.98248,0.0065944,0.0065944,0.0065944
174,1251.33,0.63946,0.41966,0.97376,0.95156,0.8816,0.92243,0.77214,0.68557,0.4038,0.99559,0.0065746,0.0065746,0.0065746
175,1258.46,0.6479,0.42968,0.98412,0.92855,0.90986,0.92484,0.78421,0.70073,0.40372,0.98987,0.0065548,0.0065548,0.0065548
176,1265.66,0.63319,0.42274,0.98133,0.95533,0.86834,0.92728,0.78781,0.69705,0.40834,0.98202,0.006535,0.006535,0.006535
177,1272.84,0.63535,0.42257,0.98773,0.96357,0.86834,0.91426,0.77713,0.68089,0.40857,0.98796,0.0065152,0.0065152,0.0065152
178,1279.98,0.63778,0.42016,0.97775,0.9189,0.91658,0.92972,0.78102,0.71223,0.40256,1.00305,0.0064954,0.0064954,0.0064954
179,1287.13,0.61299,0.40557,0.96316,0.95964,0.88973,0.9274,0.78613,0.71901,0.4189,1.00741,0.0064756,0.0064756,0.0064756
180,1294.22,0.62316,0.42423,0.96967,0.94762,0.88222,0.92945,0.78799,0.68454,0.4008,1.01104,0.0064558,0.0064558,0.0064558
181,1301.5,0.62677,0.41675,0.97205,0.9586,0.87643,0.91674,0.78114,0.72722,0.42623,0.99057,0.006436,0.006436,0.006436
182,1308.63,0.61552,0.40206,0.96745,0.94986,0.87964,0.9271,0.77882,0.71787,0.41091,0.98347,0.0064162,0.0064162,0.0064162
